City_Code,AREA_NAME
1,"Abilene, TX"
2,"Aguadilla-Isabela-San Sebastian, PR"
3,"Akron, OH"
4,"Albany, GA"
5,"Albany-Schenectady-Troy, NY"
6,"Albuquerque, NM"
7,"Alexandria, LA"
8,"Allentown-Bethlehem-Easton, PA-NJ"
9,"Altoona, PA"
10,"Amarillo, TX"
11,"Ames, IA"
12,"Anchorage, AK"
13,"Anderson, IN"
14,"Anderson, SC"
15,"Ann Arbor, MI"
16,"Anniston-Oxford, AL"
17,"Appleton, WI"
18,"Asheville, NC"
19,"Athens-Clarke County, GA"
20,"Atlanta-Sandy Springs-Marietta, GA"
21,"Atlantic City-Hammonton, NJ"
22,"Auburn-Opelika, AL"
23,"Augusta-Richmond County, GA-SC"
24,"Austin-Round Rock-San Marcos, TX"
25,"Bakersfield-Delano, CA"
26,"Baltimore-Towson, MD"
27,"Bangor, ME"
28,"Barnstable Town, MA"
29,"Baton Rouge, LA"
30,"Battle Creek, MI"
31,"Bay City, MI"
32,"Beaumont-Port Arthur, TX"
33,"Bellingham, WA"
34,"Bend, OR"
35,"Billings, MT"
36,"Binghamton, NY"
37,"Birmingham-Hoover, AL"
38,"Bismarck, ND"
39,"Blacksburg-Christiansburg-Radford, VA"
40,"Bloomington, IN"
41,"Bloomington-Normal, IL"
42,"Boise City-Nampa, ID"
43,"Boston-Cambridge-Quincy, MA-NH"
44,"Boulder, CO"
45,"Bowling Green, KY"
46,"Bremerton-Silverdale, WA"
47,"Bridgeport-Stamford-Norwalk, CT"
48,"Brownsville-Harlingen, TX"
49,"Brunswick, GA"
50,"Buffalo-Niagara Falls, NY"
51,"Burlington, NC"
52,"Burlington-South Burlington, VT"
53,"Canton-Massillon, OH"
54,"Cape Coral-Fort Myers, FL"
55,"Cape Girardeau-Jackson, MO-IL"
56,"Carson City, NV"
57,"Casper, WY"
58,"Cedar Rapids, IA"
59,"Champaign-Urbana, IL"
60,"Charleston, WV"
61,"Charleston-North Charleston-Summerville, SC"
62,"Charlotte-Gastonia-Rock Hill, NC-SC"
63,"Charlottesville, VA"
64,"Chattanooga, TN-GA"
65,"Cheyenne, WY"
66,"Chicago-Joliet-Naperville, IL-IN-WI"
67,"Chico, CA"
68,"Cincinnati-Middletown, OH-KY-IN"
69,"Clarksville, TN-KY"
70,"Cleveland, TN"
71,"Cleveland-Elyria-Mentor, OH"
72,"Coeur d'Alene, ID"
73,"College Station-Bryan, TX"
74,"Colorado Springs, CO"
75,"Columbia, MO"
76,"Columbia, SC"
77,"Columbus, GA-AL"
78,"Columbus, IN"
79,"Columbus, OH"
80,"Corpus Christi, TX"
81,"Corvallis, OR"
82,"Crestview-Fort Walton Beach-Destin, FL"
83,"Cumberland, MD-WV"
84,"Dallas-Fort Worth-Arlington, TX"
85,"Dalton, GA"
86,"Danbury, CT"
87,"Danville, IL"
88,"Danville, VA"
89,"Davenport-Moline-Rock Island, IA-IL"
90,"Dayton, OH"
91,"Decatur, AL"
92,"Decatur, IL"
93,"Deltona-Daytona Beach-Ormond Beach, FL"
94,"Denver-Aurora-Broomfield, CO"
95,"Des Moines-West Des Moines, IA"
96,"Detroit-Warren-Livonia, MI"
97,"Dothan, AL"
98,"Dover, DE"
99,"Dubuque, IA"
100,"Duluth, MN-WI"
101,"Durham-Chapel Hill, NC"
102,"Eau Claire, WI"
103,"El Centro, CA"
104,"El Paso, TX"
105,"Elizabethtown, KY"
106,"Elkhart-Goshen, IN"
107,"Elmira, NY"
108,"Erie, PA"
109,"Eugene-Springfield, OR"
110,"Evansville, IN-KY"
111,"Fairbanks, AK"
112,"Fajardo, PR"
113,"Fargo, ND-MN"
114,"Farmington, NM"
115,"Fayetteville, NC"
116,"Fayetteville-Springdale-Rogers, AR-MO"
117,"Flagstaff, AZ"
118,"Flint, MI"
119,"Florence, SC"
120,"Florence-Muscle Shoals, AL"
121,"Fond du Lac, WI"
122,"Fort Collins-Loveland, CO"
123,"Fort Smith, AR-OK"
124,"Fort Wayne, IN"
125,"Fresno, CA"
126,"Gadsden, AL"
127,"Gainesville, FL"
128,"Gainesville, GA"
129,"Glens Falls, NY"
130,"Goldsboro, NC"
131,"Grand Forks, ND-MN"
132,"Grand Junction, CO"
133,"Grand Rapids-Wyoming, MI"
134,"Great Falls, MT"
135,"Greeley, CO"
136,"Green Bay, WI"
137,"Greensboro-High Point, NC"
138,"Greenville, NC"
139,"Greenville-Mauldin-Easley, SC"
140,"Guayama, PR"
141,"Gulfport-Biloxi, MS"
142,"Hagerstown-Martinsburg, MD-WV"
143,"Hanford-Corcoran, CA"
144,"Harrisburg-Carlisle, PA"
145,"Harrisonburg, VA"
146,"Hartford-West Hartford-East Hartford, CT"
147,"Hattiesburg, MS"
148,"Hickory-Lenoir-Morganton, NC"
149,"Hinesville-Fort Stewart, GA"
150,"Holland-Grand Haven, MI"
151,"Honolulu, HI"
152,"Hot Springs, AR"
153,"Houma-Bayou Cane-Thibodaux, LA"
154,"Houston-Sugar Land-Baytown, TX"
155,"Huntington-Ashland, WV-KY-OH"
156,"Huntsville, AL"
157,"Idaho Falls, ID"
158,"Indianapolis-Carmel, IN"
159,"Iowa City, IA"
160,"Ithaca, NY"
161,"Jackson, MI"
162,"Jackson, MS"
163,"Jackson, TN"
164,"Jacksonville, FL"
165,"Jacksonville, NC"
166,"Janesville, WI"
167,"Jefferson City, MO"
168,"Johnson City, TN"
169,"Johnstown, PA"
170,"Jonesboro, AR"
171,"Joplin, MO"
172,"Kalamazoo-Portage, MI"
173,"Kankakee-Bradley, IL"
174,"Kansas City, MO-KS"
175,"Kennewick-Pasco-Richland, WA"
176,"Killeen-Temple-Fort Hood, TX"
177,"Kingsport-Bristol-Bristol, TN-VA"
178,"Kingston, NY"
179,"Knoxville, TN"
180,"Kokomo, IN"
181,"La Crosse, WI-MN"
182,"Lafayette, IN"
183,"Lafayette, LA"
184,"Lake Charles, LA"
185,"Lake Havasu City - Kingman, AZ"
186,"Lakeland-Winter Haven, FL"
187,"Lancaster, PA"
188,"Lansing-East Lansing, MI"
189,"Laredo, TX"
190,"Las Cruces, NM"
191,"Las Vegas-Paradise, NV"
192,"Lawrence, KS"
193,"Lawton, OK"
194,"Lebanon, PA"
195,"Leominster-Fitchburg-Gardner, MA"
196,"Lewiston, ID-WA"
197,"Lewiston-Auburn, ME"
198,"Lexington-Fayette, KY"
199,"Lima, OH"
200,"Lincoln, NE"
201,"Little Rock-North Little Rock-Conway, AR"
202,"Logan, UT-ID"
203,"Longview, TX"
204,"Longview, WA"
205,"Los Angeles-Long Beach-Santa Ana, CA"
206,"Louisville-Jefferson County, KY-IN"
207,"Lubbock, TX"
208,"Lynchburg, VA"
209,"Macon, GA"
210,"Madera-Chowchilla, CA"
211,"Madison, WI"
212,"Manchester, NH"
213,"Manhattan, KS"
214,"Mankato-North Mankato, MN"
215,"Mansfield, OH"
216,"Mayaguez, PR"
217,"McAllen-Edinburg-Mission, TX"
218,"Medford, OR"
219,"Memphis, TN-MS-AR"
220,"Merced, CA"
221,"Miami-Fort Lauderdale-Pompano Beach, FL"
222,"Michigan City-La Porte, IN"
223,"Midland, TX"
224,"Milwaukee-Waukesha-West Allis, WI"
225,"Minneapolis-St. Paul-Bloomington, MN-WI"
226,"Missoula, MT"
227,"Mobile, AL"
228,"Modesto, CA"
229,"Monroe, LA"
230,"Monroe, MI"
231,"Montgomery, AL"
232,"Morgantown, WV"
233,"Morristown, TN"
234,"Mount Vernon-Anacortes, WA"
235,"Muncie, IN"
236,"Muskegon-Norton Shores, MI"
237,"Myrtle Beach-North Myrtle Beach-Conway, SC"
238,"Napa, CA"
239,"Naples-Marco Island, FL"
240,"Nashville-Davidson--Murfreesboro--Franklin, TN"
241,"New Bedford, MA"
242,"New Haven, CT"
243,"New Orleans-Metairie-Kenner, LA"
244,"New York-Northern New Jersey-Long Island, NY-NJ-PA"
245,"Niles-Benton Harbor, MI"
246,"North Port-Bradenton-Sarasota, FL"
247,"Norwich-New London, CT-RI"
248,"Ocala, FL"
249,"Ocean City, NJ"
250,"Odessa, TX"
251,"Ogden-Clearfield, UT"
252,"Oklahoma City, OK"
253,"Olympia, WA"
254,"Omaha-Council Bluffs, NE-IA"
255,"Orlando-Kissimmee-Sanford, FL"
256,"Oshkosh-Neenah, WI"
257,"Owensboro, KY"
258,"Oxnard-Thousand Oaks-Ventura, CA"
259,"Palm Bay-Melbourne-Titusville, FL"
260,"Palm Coast, FL"
261,"Panama City-Lynn Haven-Panama City Beach, FL"
262,"Parkersburg-Marietta-Vienna, WV-OH"
263,"Pascagoula, MS"
264,"Pensacola-Ferry Pass-Brent, FL"
265,"Peoria, IL"
266,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
267,"Phoenix-Mesa-Glendale, AZ"
268,"Pine Bluff, AR"
269,"Pittsburgh, PA"
270,"Pittsfield, MA"
271,"Pocatello, ID"
272,"Ponce, PR"
273,"Port St. Lucie, FL"
274,"Portland-South Portland-Biddeford, ME"
275,"Portland-Vancouver-Hillsboro, OR-WA"
276,"Portsmouth, NH-ME"
277,"Poughkeepsie-Newburgh-Middletown, NY"
278,"Prescott, AZ"
279,"Providence-Fall River-Warwick, RI-MA"
280,"Provo-Orem, UT"
281,"Pueblo, CO"
282,"Punta Gorda, FL"
283,"Racine, WI"
284,"Raleigh-Cary, NC"
285,"Rapid City, SD"
286,"Reading, PA"
287,"Redding, CA"
288,"Reno-Sparks, NV"
289,"Richmond, VA"
290,"Riverside-San Bernardino-Ontario, CA"
291,"Roanoke, VA"
292,"Rochester, MN"
293,"Rochester, NY"
294,"Rochester-Dover, NH-ME"
295,"Rockford, IL"
296,"Rocky Mount, NC"
297,"Rome, GA"
298,"Sacramento--Arden-Arcade--Roseville, CA"
299,"Saginaw-Saginaw Township North, MI"
300,"Salem, OR"
301,"Salinas, CA"
302,"Salisbury, MD"
303,"Salt Lake City, UT"
304,"San Angelo, TX"
305,"San Antonio-New Braunfels, TX"
306,"San Diego-Carlsbad-San Marcos, CA"
307,"San Francisco-Oakland-Fremont, CA"
308,"San German-Cabo Rojo, PR"
309,"San Jose-Sunnyvale-Santa Clara, CA"
310,"San Juan-Caguas-Guaynabo, PR"
311,"San Luis Obispo-Paso Robles, CA"
312,"Sandusky, OH"
313,"Santa Barbara-Santa Maria-Goleta, CA"
314,"Santa Cruz-Watsonville, CA"
315,"Santa Fe, NM"
316,"Santa Rosa-Petaluma, CA"
317,"Savannah, GA"
318,"Scranton--Wilkes-Barre, PA"
319,"Seattle-Tacoma-Bellevue, WA"
320,"Sebastian-Vero Beach, FL"
321,"Sheboygan, WI"
322,"Sherman-Denison, TX"
323,"Shreveport-Bossier City, LA"
324,"Sioux City, IA-NE-SD"
325,"Sioux Falls, SD"
326,"South Bend-Mishawaka, IN-MI"
327,"Spartanburg, SC"
328,"Spokane, WA"
329,"Springfield, IL"
330,"Springfield, MA-CT"
331,"Springfield, MO"
332,"Springfield, OH"
333,"St. Cloud, MN"
334,"St. George, UT"
335,"St. Joseph, MO-KS"
336,"St. Louis, MO-IL"
337,"State College, PA"
338,"Steubenville-Weirton, OH-WV"
339,"Stockton, CA"
340,"Sumter, SC"
341,"Syracuse, NY"
342,"Tallahassee, FL"
343,"Tampa-St. Petersburg-Clearwater, FL"
344,"Terre Haute, IN"
345,"Texarkana-Texarkana, TX-AR"
346,"Toledo, OH"
347,"Topeka, KS"
348,"Trenton-Ewing, NJ"
349,"Tucson, AZ"
350,"Tulsa, OK"
351,"Tuscaloosa, AL"
352,"Tyler, TX"
353,"Utica-Rome, NY"
354,"Valdosta, GA"
355,"Vallejo-Fairfield, CA"
356,"Victoria, TX"
357,"Vineland-Millville-Bridgeton, NJ"
358,"Virginia Beach-Norfolk-Newport News, VA-NC"
359,"Visalia-Porterville, CA"
360,"Waco, TX"
361,"Warner Robins, GA"
362,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
363,"Waterbury, CT"
364,"Waterloo-Cedar Falls, IA"
365,"Wausau, WI"
366,"Wenatchee-East Wenatchee, WA"
367,"Wheeling, WV-OH"
368,"Wichita Falls, TX"
369,"Wichita, KS"
370,"Williamsport, PA"
371,"Wilmington, NC"
372,"Winchester, VA-WV"
373,"Winston-Salem, NC"
374,"Worcester, MA-CT"
375,"Yakima, WA"
376,"Yauco, PR"
377,"York-Hanover, PA"
378,"Youngstown-Warren-Boardman, OH-PA"
379,"Yuba City, CA"
380,"Yuma, AZ"
